Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,129.550003,130.949997,126.500000,127.099998,127.099998,21506
2020-01-03,127.199997,128.449997,125.449997,126.349998,126.349998,16566
2020-01-05,null,null,null,null,null,null
2020-01-06,126.250000,126.550003,121.550003,122.150002,122.150002,24428
2020-01-07,122.599998,123.400002,119.849998,122.400002,122.400002,21308
2020-01-08,122.500000,123.050003,118.250000,119.150002,119.150002,23061
2020-01-09,118.699997,120.349998,117.000000,117.349998,117.349998,24637
2020-01-10,117.750000,119.150002,116.500000,118.949997,118.949997,21165
2020-01-12,null,null,null,null,null,null
2020-01-13,118.550003,118.550003,114.150002,114.550003,114.550003,22280
2020-01-14,115.000000,115.550003,113.699997,114.900002,114.900002,18618
2020-01-15,115.300003,116.349998,114.050003,114.300003,114.300003,24677
2020-01-16,114.300003,115.099998,112.349998,112.949997,112.949997,16708
2020-01-17,113.050003,113.400002,111.349998,112.150002,112.150002,18214
2020-01-19,null,null,null,null,null,null
2020-01-21,111.500000,113.250000,109.750000,111.050003,111.050003,32011
2020-01-22,111.500000,112.199997,110.099998,111.000000,111.000000,18581
2020-01-23,111.150002,113.699997,110.650002,112.599998,112.599998,22898
2020-01-24,112.599998,112.650002,109.849998,110.150002,110.150002,23990
2020-01-26,null,null,null,null,null,null
2020-01-27,110.000000,110.000000,106.150002,106.599998,106.599998,25500
2020-01-28,106.400002,106.800003,104.900002,105.050003,105.050003,23885
2020-01-29,106.000000,106.199997,101.900002,102.050003,102.050003,32681
2020-01-30,102.000000,103.500000,100.900002,101.500000,101.500000,24626
2020-01-31,101.449997,103.250000,100.150002,102.650002,102.650002,23166
2020-02-02,null,null,null,null,null,null
2020-02-03,102.000000,102.300003,97.800003,97.900002,97.900002,31237
2020-02-04,98.949997,101.750000,97.599998,98.150002,98.150002,29518
2020-02-05,98.500000,99.250000,97.550003,97.750000,97.750000,29230
2020-02-06,98.449997,99.349998,97.400002,98.150002,98.150002,34189
2020-02-07,98.349998,99.900002,97.699997,98.349998,98.349998,23661
2020-02-09,null,null,null,null,null,null
2020-02-10,98.550003,100.699997,98.050003,100.300003,100.300003,45770
2020-02-11,100.650002,101.199997,99.500000,100.500000,100.500000,36364
2020-02-12,101.000000,102.300003,100.000000,100.650002,100.650002,36213
2020-02-13,100.500000,104.650002,99.949997,104.449997,104.449997,28558
2020-02-14,104.150002,109.400002,103.650002,109.099998,109.099998,10502
2020-02-16,null,null,null,null,null,null
2020-02-18,109.699997,111.500000,104.400002,106.550003,106.550003,14616
2020-02-19,106.300003,107.750000,105.500000,106.800003,106.800003,17063
2020-02-20,107.050003,107.050003,104.000000,103.599998,103.599998,721
2020-02-21,104.599998,109.699997,104.599998,108.849998,108.849998,26
2020-02-23,null,null,null,null,null,null
2020-02-24,105.449997,107.050003,102.900002,105.900002,105.900002,878
2020-02-25,106.449997,107.699997,103.900002,107.099998,107.099998,104
2020-02-26,105.349998,109.349998,105.349998,109.099998,109.099998,17
2020-02-27,109.900002,110.800003,107.800003,108.199997,108.199997,412
