Date;Price;;;;;;;;
20/11/2017;18.9937;;;;;;;;
21/11/2017;18.7745;;;;;;;;
22/11/2017;18.642;;;;;;;;
23/11/2017;18.6215;;;;;;;;
24/11/2017;18.575;;;;;;;;
27/11/2017;18.5848;;;;;;;;
28/11/2017;18.543;;;;;;;;
29/11/2017;18.567;;;;;;;;
30/11/2017;18.631;;;;;;;;
1/12/2017;18.6259;;;;;;;;
4/12/2017;18.6115;;;;;;;;
5/12/2017;18.7575;;;;;;;;
6/12/2017;18.866;;;;;;;;
7/12/2017;18.972;;;;;;;;
8/12/2017;18.933;;;;;;;;
11/12/2017;19.058;;;;;;;;
12/12/2017;19.173;;;;;;;;
13/12/2017;19.0128;;;;;;;;
14/12/2017;19.1535;;;;;;;;
15/12/2017;19.1315;;;;;;;;
18/12/2017;19.082;;;;;;;;
19/12/2017;19.2085;;;;;;;;
20/12/2017;19.2065;;;;;;;;
21/12/2017;19.466;;;;;;;;
22/12/2017;19.732;;;;;;;;
25/12/2017;19.7401;;;;;;;;
26/12/2017;19.867;;;;;;;;
27/12/2017;19.69;;;;;;;;
28/12/2017;19.7163;;;;;;;;
29/12/2017;19.653;;;;;;;;
1/1/2018;19.66;;;;;;;;
2/1/2018;19.5413;;;;;;;;
3/1/2018;19.351;;;;;;;;
4/1/2018;19.2895;;;;;;;;
5/1/2018;19.181;;;;;;;;
8/1/2018;19.225;;;;;;;;
9/1/2018;19.2387;;;;;;;;
10/1/2018;19.291;;;;;;;;
11/1/2018;19.2705;;;;;;;;
12/1/2018;19.04;;;;;;;;
15/1/2018;18.8555;;;;;;;;
16/1/2018;18.7705;;;;;;;;
17/1/2018;18.7147;;;;;;;;
18/1/2018;18.607;;;;;;;;
19/1/2018;18.613;;;;;;;;
22/1/2018;18.6842;;;;;;;;
23/1/2018;18.694;;;;;;;;
24/1/2018;18.5005;;;;;;;;
25/1/2018;18.605;;;;;;;;
26/1/2018;18.4844;;;;;;;;
29/1/2018;18.612;;;;;;;;
30/1/2018;18.771;;;;;;;;
31/1/2018;18.6;;;;;;;;
1/2/2018;18.349;;;;;;;;
2/2/2018;18.5983;;;;;;;;
5/2/2018;18.779;;;;;;;;
6/2/2018;18.604;;;;;;;;
7/2/2018;18.798;;;;;;;;
8/2/2018;18.896;;;;;;;;
9/2/2018;18.71;;;;;;;;
12/2/2018;18.603;;;;;;;;
13/2/2018;18.6635;;;;;;;;
14/2/2018;18.587;;;;;;;;
15/2/2018;18.5012;;;;;;;;
16/2/2018;18.519;;;;;;;;
19/2/2018;18.534;;;;;;;;
20/2/2018;18.7072;;;;;;;;
21/2/2018;18.8375;;;;;;;;
22/2/2018;18.611;;;;;;;;
23/2/2018;18.535;;;;;;;;
26/2/2018;18.6785;;;;;;;;
27/2/2018;18.8447;;;;;;;;
28/2/2018;18.8403;;;;;;;;
1/3/2018;18.8403;;;;;;;;
2/3/2018;18.8;;;;;;;;
5/3/2018;18.7962;;;;;;;;
6/3/2018;18.7387;;;;;;;;
